X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,STATION_ID,STATION_NAME,DATA_BEGIN_DATE,DATA_END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,ID_CAT,SNOW
-10177708.3854932,4475380.29160247,1089,90580d95-e8a1-489b-8f18-df789668dbc3,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00237309,"ROUND SPRING 2 SW, MO US",1893/02/20 05:00:00+00,2020/12/31 05:00:00+00,Missouri,United States,37.25979,-91.42791,252.7,1,
-8945801.25938365,5014878.99104009,1255,b2e1f1cf-d70b-4a00-a80f-ebf757595da1,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00366233,"NEW CASTLE 1 N, PA US",1892/05/01 05:00:00+00,2020/01/31 05:00:00+00,Pennsylvania,United States,41.0172,-80.3615,251.5,1,
-9991625.6114883,5001639.07082829,1641,ed2ea03f-34d1-4f2f-ae2d-f73e599a0b74,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00117004,"PRINCEVILLE 2 W, IL US",1905/01/01 05:00:00+00,2013/08/31 04:00:00+00,Illinois,United States,40.9274,-89.7563,228.6,1,
-9436486.44285132,5401581.29748302,1743,751c2c7f-6c4b-4689-b646-65df9edcbe90,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",1895/08/15 05:00:00+00,2021/02/16 05:00:00+00,Michigan,United States,43.5859,-84.7694,242.3,1,
-9599024.03135858,4756122.42472528,2572,35b4e409-bc4e-4850-9547-631983bf53fd,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00126056,"NASHVILLE 2 NNE, IN US",1912/02/01 05:00:00+00,2019/05/19 04:00:00+00,Indiana,United States,39.2401,-86.2295,210.3,1,
-10420461.6858712,4877923.65780436,2999,bc0c5b99-9a06-4f0e-8264-7b889bc4d9ff,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00238444,"TRENTON, MO US",1895/01/12 05:00:00+00,2020/12/31 05:00:00+00,Missouri,United States,40.0824,-93.6086,255.1,1,
-10534475.1083417,4794629.51539156,3062,ea585308-592c-4eb3-b1a5-3b4d388df4c1,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00232474,"EDGERTON, MO US",1919/11/01 05:00:00+00,2011/09/19 04:00:00+00,Missouri,United States,39.5075,-94.6328,256,1,
-9359711.61644102,5393464.21157211,4298,e04c41f3-bf7c-489f-b50d-02fcbc01a04e,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USW00014845,"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",1898/01/01 05:00:00+00,2021/03/16 04:00:00+00,Michigan,United States,43.53306,-84.07972,201.2,1,
-10641246.0847412,4877615.21744827,4301,d0aa19f7-99aa-4c7e-a203-e201cc5c22c6,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USW00094957,"FALLS CITY BRENNER FIELD, NE US",1912/03/01 05:00:00+00,2021/03/16 04:00:00+00,Nebraska,United States,40.08028,-95.59194,298.7,1,
-10004304.9014897,4763052.61283868,4302,834e0142-611a-44cd-9a8f-63a8f5d6e4bb,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00111280,"CARLINVILLE, IL US",1893/01/01 05:00:00+00,2014/07/31 04:00:00+00,Illinois,United States,39.2883,-89.8702,189.3,1,
