X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,STATION_ID,STATION_NAME,DATA_BEGIN_DATE,DATA_END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,ID_CAT,SNOW
-9913693.06237374,4688115.49175202,1324,54635d8d-9458-4b35-8441-3ca21f428605,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00116642,"PATOKA, IL US",1975/03/08 04:00:00+00,2019/12/31 05:00:00+00,Illinois,United States,38.76535,-89.05622,158.2,1,
-9892297.45624328,5199260.09066212,2008,3f3bfcce-ed7b-4ebe-9edf-8f0467b2ed48,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00110583,"BELVIDERE, IL US",1941/11/01 05:00:00+00,2021/02/24 05:00:00+00,Illinois,United States,42.25504,-88.86402,229.5,1,
-10081694.2114891,5020885.65538538,2069,b58cec91-6c07-492e-97c4-84be2181b8c8,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00110082,"ALEXIS 1 SW, IL US",1948/07/01 04:00:00+00,2021/03/11 05:00:00+00,Illinois,United States,41.0579,-90.5654,207.3,1,
-10041953.1532759,4858606.46853715,2942,55920243-a5ca-4c2e-944b-bc5c6bba1e5a,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00118870,"VIRGINIA, IL US",1963/06/14 04:00:00+00,2020/06/04 04:00:00+00,Illinois,United States,39.9495,-90.2084,185.9,1,
-10011785.571271,5112449.46880333,3528,aff0e95a-6706-4bc6-9fc7-a350660fcf49,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00117014,"PROPHETSTOWN, IL US",1948/07/01 04:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,41.6752,-89.9374,184.4,1,
-9854491.13078006,4542873.97886405,4303,4248c3c7-31c4-443b-834b-fd9ea74c73dc,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00113879,"HARRISBURG, IL US",1898/03/01 05:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,37.7408,-88.5244,111.3,1,
-9945138.59213303,4888055.15251166,4324,ef84ff4d-2a6d-4dc2-9546-d53db5dd10f4,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00115079,"LINCOLN, IL US",1906/02/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,40.152,-89.3387,177.7,1,
-9814668.80933859,5086373.64928736,4653,6367575f-0f12-42e9-9770-748667934e4f,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USW00014834,"JOLIET, IL US",1893/11/01 05:00:00+00,2019/11/06 05:00:00+00,Illinois,United States,41.5,-88.16667,181.1,1,
-9948121.95448629,4545689.7664812,4669,a4191059-6d4d-4d1f-90cf-d9089f440782,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00115983,"MURPHYSBORO 2 SW, IL US",1948/07/01 04:00:00+00,2021/01/30 05:00:00+00,Illinois,United States,37.7608,-89.3655,167.6,1,
-9915316.10054951,5147746.73687943,4670,53612aa1-cb28-47d0-a2e5-49acaf553ccd,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00117354,"ROCHELLE, IL US",1978/10/01 04:00:00+00,2020/01/24 05:00:00+00,Illinois,United States,41.9116,-89.0708,236.2,1,
-10036776.7969541,4591949.59318054,4676,bef173d5-76f9-47d9-a906-766e5726365f,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00116973,"PRAIRIE DU ROCHER 3 WNW, IL US",1948/10/16 05:00:00+00,2017/01/31 05:00:00+00,Illinois,United States,38.0886,-90.1619,123.1,1,
-10016385.2926305,4604657.07805452,4681,079d26cf-8faf-4a60-920b-98c8bfb3714d,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00117157,"RED BUD 2 S, IL US",1947/08/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,38.17839,-89.97872,128,1,
-9830813.47508834,4665362.07702554,4682,731c40a5-7f2f-4746-b7f9-ceee67f693dc,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00111700,"CLAY CITY 6 SSE, IL US",1977/06/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,38.6058,-88.3117,140.2,1,
-9865623.07985939,4738602.530359,4684,23143322-c8e7-4da2-af9d-7c7ac603edd1,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00112687,"EFFINGHAM, IL US",1893/01/01 05:00:00+00,2020/06/12 04:00:00+00,Illinois,United States,39.1181,-88.6244,190.5,1,
-10000330.7956683,4868303.96627986,4690,75fb8dfe-e968-4812-8209-668f08f66044,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00116765,"PETERSBURG 1 E, IL US",1988/03/01 05:00:00+00,2021/03/13 05:00:00+00,Illinois,United States,40.01625,-89.8345,182.9,1,
-9757854.68082243,4737976.97160931,4696,8693bccb-d1c4-4d14-ba14-7eda279cb0ad,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00114317,"HUTSONVILLE, IL US",1946/05/03 04:00:00+00,2017/04/30 04:00:00+00,Illinois,United States,39.11374,-87.6563,133.2,1,
-10081616.2878456,5089049.41412784,4705,1eda05df-f084-4016-851b-fd27af4958e4,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00117391,"ROCK ISLAND LOCK AND DAM 15, IL US",1866/02/01 04:56:02+00,2021/03/16 04:00:00+00,Illinois,United States,41.518,-90.5647,173.1,1,
-9816208.35789626,4589785.82570466,4707,0bfb7821-e92b-4756-92d5-e148982edba7,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00111302,"CARMI 3, IL US",1987/02/01 05:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,38.0733,-88.1805,102.1,1,
-10025956.5424489,4910071.60308532,4729,4dbf949c-167e-4167-a497-bd1d6cea1a53,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00113940,"HAVANA, IL US",1917/03/01 05:00:00+00,2020/11/30 05:00:00+00,Illinois,United States,40.303,-90.0647,141.1,1,
-9876044.81058746,4974178.69451683,4738,73af94ba-2562-431d-b05e-804a02481c31,2021/03/19 16:45:20.123+00,ncei_noaa,2021/03/19 16:45:20.123+00,ncei_noaa,GHCND:USC00111475,"CHENOA, IL US",1948/06/01 04:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,40.74076,-88.71802,219.2,1,
